SsOH,C1SP2,minHBa,maxssO,ALogP,ATSc1,ATSc3,ATSc5,BCUTc-1l,BCUTc-1h,BCUTp-1h,mindssC,minsssN,hmin,LipoaffinityIndex,MAXDP2,ETA_BetaP_s,nHBAcc,nBondsD2,nsssCH,bianhua
0,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
0.2,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
0.4,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
0.6,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
0.8,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
1,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
1.2,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
1.4,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
1.6,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
1.8,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
2,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
2.2,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
2.4,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
2.6,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
2.8,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
3,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
3.2,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
3.4,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
3.6,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
3.8,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
4,0,0,0,0,0,0,0,-1.11E-16,1.39E-17,1.78E-15,1.11E-16,0,-5.55E-17,-1.78E-15,8.88E-16,1.11E-16,0,0,0,5.839842
